City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,argenton-sur-creuse,46.59,1.5198,15.19,90,100,8.25,FR,1698225783
111,st. john's,47.5649,-52.7093,6.2,90,75,9.26,CA,1698225783
112,sitka,57.0531,-135.33,1.94,60,0,0.0,US,1698225784
113,kalemie,-5.9475,29.1947,28.54,57,98,1.97,CD,1698225784
114,cockburn town,21.4612,-71.1419,27.79,71,54,9.75,TC,1698225653
115,susuman,62.7833,148.1667,-16.12,99,91,0.89,RU,1698225785
116,tazacorte,28.629,-17.9293,22.54,80,40,3.09,ES,1698225786
117,necochea,-38.5473,-58.7368,6.39,88,1,1.47,AR,1698225787
118,olonkinbyen,70.9221,-8.7187,2.87,93,100,3.91,SJ,1698225787
119,hamilton,39.1834,-84.5333,18.21,56,75,3.6,US,1698225395
120,andergrove,-21.0833,149.1833,22.66,74,0,2.82,AU,1698225788
121,lebu,-37.6167,-73.65,8.25,91,15,7.33,CL,1698225789
122,floro,61.5996,5.0328,11.04,71,0,1.54,NO,1698225789
123,east london,-33.0153,27.9116,21.52,56,20,5.14,ZA,1698225684
124,batouri,4.4333,14.3667,22.84,93,100,0.87,CM,1698225791
125,aasiaat,68.7098,-52.8699,-6.83,77,100,3.24,GL,1698225543
126,kerikeri,-35.2268,173.9474,14.95,88,62,2.03,NZ,1698225792
127,union hill-novelty hill,47.6789,-122.0283,6.25,92,100,0.89,US,1698225792
128,brookings,44.3114,-96.7984,7.0,95,100,3.6,US,1698225793
129,severnoye,56.3491,78.3619,3.32,97,100,5.81,RU,1698225794
130,nagqu,31.5,92.0,2.21,38,100,3.26,CN,1698225795
131,garbahaarrey,3.3289,42.2209,32.71,46,27,4.8,SO,1698225795
132,puerto ayora,-0.7393,-90.3518,23.08,98,100,2.68,EC,1698225796
133,i-n-salah,27.1935,2.4607,32.36,20,100,5.75,DZ,1698225796
134,cabedelo,-6.9811,-34.8339,23.37,68,96,3.63,BR,1698225630
135,kroya,-7.6331,109.2461,27.7,74,54,4.17,ID,1698225798
136,hasaki,35.7333,140.8333,19.22,67,99,3.9,JP,1698225798
137,ialibu,-6.2821,143.9935,11.5,84,90,1.57,PG,1698225799
138,fale old settlement,-9.3852,-171.2468,28.43,78,13,7.53,TK,1698225799
139,sechura,-5.5569,-80.8222,20.14,85,80,4.31,PE,1698225800
140,egilsstadir,65.2653,-14.3948,-3.05,93,75,1.54,IS,1698225801
141,picos,-7.0769,-41.4669,24.84,53,46,1.92,BR,1698225608
142,utrik,11.2278,169.8474,27.76,76,72,5.21,MH,1698225802
143,longyearbyen,78.2186,15.6401,-4.09,93,75,2.57,SJ,1698225681
144,new norfolk,-42.7826,147.0587,7.72,83,53,3.66,AU,1698225803
145,kirovskiy,45.0917,133.5136,10.07,51,31,0.29,RU,1698225803
146,carnarvon,-24.8667,113.6333,23.23,64,0,7.39,AU,1698225804
147,opuwo,-18.0607,13.84,34.64,11,8,1.31,NA,1698225804
148,maceio,-9.6658,-35.7353,23.69,100,40,2.57,BR,1698225726
149,kani keli,-12.9536,45.1033,30.59,78,90,5.78,YT,1698225679
150,port blair,11.6667,92.75,27.02,89,75,2.06,IN,1698225806
151,kuqa,41.7278,82.9364,18.48,21,3,1.09,CN,1698225806
152,la paz,-16.5,-68.15,7.54,85,75,1.03,BO,1698225747
153,geraldton,-28.7667,114.6,22.23,73,0,7.2,AU,1698225557
154,itaituba,-4.2761,-55.9836,24.37,93,100,0.65,BR,1698225808
155,sallisaw,35.4604,-94.7875,22.08,100,100,2.57,US,1698225721
156,antsiranana,-12.2787,49.2917,33.42,38,75,5.14,MG,1698225809
157,tongliao,43.6125,122.2653,16.38,24,36,4.09,CN,1698225810
158,onega,63.9061,38.1404,2.03,75,99,3.53,RU,1698225810
159,afaahiti,-17.75,-149.2833,24.93,82,89,5.74,PF,1698225797
160,kapa'a,22.0752,-159.319,22.99,83,0,3.09,US,1698225811
161,al wajh,26.2455,36.4525,30.97,58,0,5.66,SA,1698225812
162,ponta pora,-22.5361,-55.7256,20.36,93,85,0.59,BR,1698225622
163,sao vicente,-23.9631,-46.3919,25.1,26,100,1.68,BR,1698225814
164,beira,-19.8436,34.8389,31.1,63,0,4.8,MZ,1698225815
165,fernandina beach,30.6697,-81.4626,24.99,86,75,2.57,US,1698225671
166,leh,34.1667,77.5833,6.35,21,12,2.83,IN,1698225816
167,champerico,14.3,-91.9167,25.52,87,92,2.8,GT,1698225816
